"Gene","KEGG_ID"
"taes:123059928","taes:123059928"
"taes:123060542","taes:123060542"
"taes:123062279","taes:123062279"
"taes:123062591","taes:123062591"
"taes:123062893","taes:123062893"
"taes:123063560","taes:123063560"
"taes:123065308","taes:123065308"
"taes:123065460","taes:123065460"
"taes:123065754","taes:123065754"
"taes:123065891","taes:123065891"
"taes:123066851","taes:123066851"
"taes:123066854","taes:123066854"
"taes:123068016","taes:123068016"
"taes:123068017","taes:123068017"
"taes:123068019","taes:123068019"
"taes:123068021","taes:123068021"
"taes:123068022","taes:123068022"
"taes:123068371","taes:123068371"
"taes:123069104","taes:123069104"
"taes:123069108","taes:123069108"
"taes:123071407","taes:123071407"
"taes:123071408","taes:123071408"
"taes:123071750","taes:123071750"
"taes:123074221","taes:123074221"
"taes:123074428","taes:123074428"
"taes:123074560","taes:123074560"
"taes:123074828","taes:123074828"
"taes:123074951","taes:123074951"
"taes:123074978","taes:123074978"
"taes:123075803","taes:123075803"
"taes:123076917","taes:123076917"
"taes:123077621","taes:123077621"
"taes:123079412","taes:123079412"
"taes:123079749","taes:123079749"
"taes:123081755","taes:123081755"
"taes:123081870","taes:123081870"
"taes:123082047","taes:123082047"
"taes:123082231","taes:123082231"
"taes:123082233","taes:123082233"
"taes:123082266","taes:123082266"
"taes:123084388","taes:123084388"
"taes:123084503","taes:123084503"
"taes:123084525","taes:123084525"
"taes:123084580","taes:123084580"
"taes:123084787","taes:123084787"
"taes:123086512","taes:123086512"
"taes:123087083","taes:123087083"
